,title,label,label_score
2449,Ini Rincian Skema Biaya Pembangunan Ibu Kota Baru,clickbait,1
3177,"Heboh Warga Ramai , di Makam BJ Habibie, Netizen Menyayangkan",clickbait,1
3684, Seksinya Cinta Laura Bergaya bak Princess Jasmine,clickbait,1
8236,"7 Potret Aksi Keren Awkarin Saat Demo Mahasiswa, Beri Nasi Kotak Hingga Bersihkan Sampah",clickbait,1
8150,"J-Hope BTS Dan Becky G Siap Keluarkan Lagu Kolaborasi, Penggemar Makin Tak sabar ",clickbait,1
1023,"Baik Hati, 5 Zodiak Ini Tidak Pernah Tega Menyakiti Orang Lain",clickbait,1
3354,"Cara Setiap Zodiak Memanipulasi Keadaan, Pisces dan Capricorn Paling Licik!",clickbait,1
7780,"Hotman Paris Melamun Soal Kawin Cerai Hingga Lupa Anak, Sengaja Sindir Farhat Abbas?",clickbait,1
6843,"Revisi UU KPK Dinilai Untungkan Mafia Tambang, Ini Penjelasannya",clickbait,1
7407,"Buronan hingga Sempat Rekam Video, 4 Fakta Mengejutkan Korban Selamat Kecelakaan Nganjuk-Madiun",clickbait,1
1495,"Selebritis yang Jadi Terseret Jadi 'Korban' Skandal BTS, Siapa Saja?",clickbait,1
7596,'Flower Crew' Kembali Kalahkan 'Vagabond' Jadi Drama Terbanyak Dibicarakan,clickbait,1
2263,Ini Jadwal Update EMUI Android 10 untuk Ponsel Huawei,clickbait,1
6216,Ini Daftar Juara Piala Dunia Basket FIBA dari Tahun ke Tahun,clickbait,1
8250,"Yasonna Laoly Mundur Jadi Menkumham Tinggalkan 3 Kontroversi, Apa Saja?",clickbait,1
1639,Wanita dengan Tubuh Berisi Terbukti Bikin Pria Lebih Bahagia,clickbait,1
2207,Ini Kata Saut Situmorang soal Masa Depan KPK Pasca 3 Pimpinan Serahkan Mandat ke Presiden,clickbait,1
2196,"Jalan-jalan ala BTS, Ini 5 Pasar Unik dan Serba Murah di Seoul",clickbait,1
5752,Kisah Prajurit TNI dari Suku Anak Dalam yang Mengajar di Perbatasan RI-Timor Leste,clickbait,1
7547,"Kontroversi Film The Santri, Soal Amerika juga Disoroti, Wirda Mansur Buka Suara: Anehnya di Mana?",clickbait,1
1537,"Camila Cabello dan Shawn Mendes Pamer Ciuman ala Ikan, Konfirmasi Pacaran?",clickbait,1
945,"Mengurangi Makan Nasi, 5 Alternatif Pengganti Nasi Ini Sangat Bergizi!",clickbait,1
2128,"Jika AS Ingin Gelar Perundingan Pelucutan Senjata Nuklir, Ini yang Diminta Korea Utara",clickbait,1
7613,"Ketahuan Bawa Bedak, Desta Senyum Malu Beri Alasan Buat Hilangkan Muka Berminyak",clickbait,1
7423,"Di Temanggung, Jumat Ditetapkan Sebagai Hari Minum Kopi, Ada Suratnya dari Bupati",clickbait,1
5972,"Tips Belanja Online Sissy Priscillia, Teliti Sebelum Membeli",clickbait,1
2518,VIDEO: Hailee Stainfeld Bakal Gabung Marvel?,clickbait,1
2939,"Merek Nasional, Pemerintah Maklumi Esemka Bima Hanya Ganti Merek?",clickbait,1
900,"Kerap Ditanya Kapan Nikah, Begini Jawaban Chand Kelvin",clickbait,1
7353,"Berlangsung Hingga Oktober, Fenomena Hari Tanpa Bayangan Akan Terjadi di Kota-kota Ini",clickbait,1
8298,Super Junior Rilis Video Lirik Untuk Lagu Powerful 'The Crown' Jelang Comeback ,clickbait,1
1174,"Terungkap, Choi Siwon Takjub Pada Satu Hal Ini Dari Fans Indonesia",clickbait,1
7458,"Gadis Ini Tewas Tersetrum Ponselnya yang Jatuh ke Air Saat ""Di-cas""",clickbait,1
1499,5 Film Indonesia Terbaru yang Bikin Kamu #AntiNgaret Berangkat ke Bioskop,clickbait,1
3118,"Gibran Anak Jokowi Mendadak Temui Wali Kota Solo di Rumah Dinas, Ada Apa?",clickbait,1
6166,"Persija Dihantam Persipura 0-2, Apa Dalih Julio Banuelos?",clickbait,1
2602,"Resep Cilok Anti-alot, Mengunyah Tak Lagi Susah",clickbait,1
3793,Mau Cepat Mati? Sering-sering Merokok Setelah Makan! Begini Hasil Penelitiannya...,clickbait,1
3209,Shandy Aulia Pamer Baby Bump Tampil dengan Bikini hingga Dress Transparan,clickbait,1
1392,"6 Foto Kemiripan Nia Ramadhani dan Lisa BLACKPINK, Cocok Jadi Kakak Adik?",clickbait,1
927,"BJ Habibie Meninggal, Begini Sedihnya Reza Rahadian",clickbait,1
1782,Polemik PB Djarum vs KPAI yang Berujung Stop Audisi...,clickbait,1
8124,"Suho EXO Pose Unyu Bareng Sehun Sambil Pamer Kaus, Ternyata untuk Ini",clickbait,1
5874,Cara Kerja Hacker Curi Data Lewat Sim Card,clickbait,1
8557,"Sabrina Chairunnisa Kritik Mahasiswa Mending Kuliah Ketimbang Demo, Sebut Pernyataan Paling Dangkal",clickbait,1
8496,Haris Azhar Kritik Menkumham Soal Gelandangan Didenda Rp 1 Juta: Gembel Enggak Nonton Pidato Anda,clickbait,1
1822,Cerita Paul Cummings dan Fasilitas Disabilitas Stadion Kanjuruhan,clickbait,1
7831,"Intip Cara Unik Cinta Laura Rayakan Hari Batik Nasional, Aksi Basah-basahan Curi Perhatian",clickbait,1
5333,"Tak Dapat Jatah Mendikbud, Ini Respons PP Muhammadiyah",clickbait,1
8478,"Akdong Musician Putuskan Comeback Dengan Nama AKMU Mulai Sekarang, Ternyata Gara-gara Ini",clickbait,1
3255,"Jadi YouTuber Seksi, Ini Jumlah Penghasilan Pamela Safitri",clickbait,1
8030," Capek Diterpa Masalah Bertubi-tubi, Bebby Fey Ngaku Mukanya Sampai Keriput",clickbait,1
904,"Bikin Heboh, Rossa Diapit 6 Anak Muda NCT Dream",clickbait,1
7672,"Biasa Dipuji Cantik, Bella Hadid Mendadak Disebut Ganteng Gara-Gara Tampil Seperti Ini",clickbait,1
7958,Jessica Iskandar Dikira Hamil Duluan Usai Tulis Caption Begini Di Foto Bareng Richard dan El Barack,clickbait,1
2538,Wonderkid Thailand Siap Bikin Malu Timnas Indonesia di Jakarta,clickbait,1
7147,"Kemenristek Dikti Tuntut 11 PTNBH Masuk 500 Besar Dunia, Ini Kondisinya Sekarang",clickbait,1
2710,Klub David Beckham Mulai Menggoda Lionel Messi,clickbait,1
4247,Ini Saran Agar Taksi Daring Bisa Bebas Ganjil-Genap,clickbait,1
3403,11 Saham Perusahaan Energi yang Harganya Meroket akibat Serangan Drone,clickbait,1
8019,Wulan Guritno Beri Izin Shaloom Razade Nikah Muda Tapi Ajukan Syarat Khusus Ini,clickbait,1
2481,"Catat, Gerhana Matahari Cincin Terlihat di Indonesia pada 26 Desember 2019",clickbait,1
7518,Hotman Paris Mengorek Pengakuan Bebby Fey Soal Dilecehkan YouTuber Hingga Seret Atta Halilintar,clickbait,1
8208,"Petugas Ambulans DKI Cidera, Anies Baswedan Akan Bawa Ke Jalur Hukum?",clickbait,1
449,"Beredar Video Polisi Teriaki TNI di Mes Pati TNI AL, Ini Penjelasan Polri",clickbait,1
2230,"Tak Cuma Gangguan Paru, Ini Efek Polusi Udara Bagi Tubuh",clickbait,1
6508,"Buwas 17 Bulan Jadi Dirut Bulog, Ini Daftar Kontroversinya",clickbait,1
1598,"Dulu Bercinta Sehari 8 Ronde, Barbie Kumalasari Bakal Minta Bilik Asmara untuk Galih?",clickbait,1
2139,"Selain Spongebob SquarePants, Ini 4 Animasi yang Pernah Ditegur KPI",clickbait,1
999,Ingin Tidur Lebih Cepat di Malam Hari? Pakai Piyama dari Bahan Ini,clickbait,1
2940,"Kaya Mendadak, Pasutri Ini Beli 3 Mobil Lalu Diburu Polisi",clickbait,1
7601,"Kocak, Mahasiwa Ini Goyang 'Entah Apa yang Merasukimu' Di Hadapan Rektor Saat Wisuda",clickbait,1
7305,"Muncul Isu Santunan Korban Dul Jaelani Tak Lancar Pasca Ahmad Dhani Dipenjara, Ini Faktanya",clickbait,1
8091,"Melody Prima Minta Maaf Usai Dianggap 'Nyinyir' Demo Mahasiswa, Netter Sinis",clickbait,1
5037,Waspadai Gerakan yang Berpotensi Ganggu Ideologi Negara,clickbait,1
7788,Pakar Ungkap Analisis Mengejutkan Soal Ekspresi Bebby Fey Saat Ibunda Serangan Jantung,clickbait,1
3778,"Kejar-kejaran, Saling Tembak, Bandar Sabu Tewas di Depan Mapolres",clickbait,1
7805,"Dibongkar Uya Kuya, Isi ATM Barbie Kumalasari Sukses Bikin Netter Syok",clickbait,1
7271,"Cekcok dengan Nikita Mirzani di Media Sosial Bela Elza Syarief, Poppy Kelly Ternyata Tak Diakui Anak",clickbait,1
6938,"Ketombe Mengganggu Penampilan, Hilangkan dengan 7 Cara Alami Ini",clickbait,1
236,"Pasang Status 'Single', Inilah Saat Terakhir Kehidupan Novy Chardon",clickbait,1
8332,Jokowi Disebut Minta Pelantikannya Dipercepat Gara-Gara Ini,clickbait,1
3875,"Hotnews!! Diciduk Polisi, Nunung Positif Pakai Narkoba",clickbait,1
3278,"Niat Ambil Video, Atlet Cantik Ini Jatuh dari Air Terjun Setinggi 50 Kaki",clickbait,1
1385,"Bakal Tampil di JICOMFEST 2019, Intip Video Gaya Lawakan MLI yang Super Gokil",clickbait,1
6369,Sebab Tinggi Meja Loket Jangan Lebih dari 1 Meter,clickbait,1
7307,"5 Zodiak yang Dituduh Pemalas Aslinya Pekerja Keras, Taurus Gara-gara Bermain Game dan Asik Ngobrol",clickbait,1
2066,Ini Tahapan Kompetisi Voli Liga Mahasiswa Jawa Timur,clickbait,1
3701,"Seimbangkan Keuanganmu, Simak Pesan Malaikat Hari Ini   ",clickbait,1
3967,"PKB Minta 10, Nasdem 11, Belum Lagi Golkar, PPP dan PDIP... Pusing Lah!!! !",clickbait,1
2401,"Wapres Jusuf Kalla Setuju Ada Dewan Pengawas KPK, tetapi...",clickbait,1
8493,"Menangis Ribut dengan Oza Kioza, Pamela Safitri Beri Sindiran Pedas?",clickbait,1
7684,"Marak Artis DPR, Ruben Onsu Lebih Pilih Jadi Menteri Tenaga Kerja Ketimbang Anggota Dewan",clickbait,1
8149, Ruben Onsu Hormati Para Pendemo RUKUHP Tapi Tidak Untuk Pelajar Sekolah,clickbait,1
3674,Striker Ini Ngaku Diperlakukan dengan Buruk saat di Barcelona,clickbait,1
240,"Sidang Gugatan Ikan Koi Mati, Saksi dari PLN Bicara Ini",clickbait,1
5281,Begini Cara Adipati Dolken Dalami Peran sebagai Kasino,clickbait,1
8374,"MV 'Feel Special' Gagal Pecahkan Rekor Views Twice Sebelumnya, Inikah Alasannya?",clickbait,1
7154,KPK Memang 'Seksi',clickbait,1
8607,Istana Bantah Jokowi Tak Peka Pada Korban Kabut Asap Usai 'Mejeng' Bareng Jan Ethes,clickbait,1
4208, Lokasi Ibu Kota Baru Bebas Karhutala?,clickbait,1
